timestamp,PC,PCD,CH_data
1637046867853,45,0,28376 35443 27306 33462 32498 46 32778 41
1637046867853,46,0,28376 35443 27296 33458 32484 48 32776 42
1637046867854,47,0,28376 35443 27288 33453 32473 50 32773 44
1637046867854,48,0,28376 35443 27280 33450 32468 53 32771 45
1637046867854,49,0,28376 35443 27275 33447 32467 56 32769 46
1637046867855,50,0,28376 35443 27270 33445 32470 59 32768 47
1637046867855,51,0,28376 35443 27266 33443 32476 62 32767 48
1637046867855,52,0,28376 35443 27263 33442 32486 66 32765 49
1637046867855,53,0,28376 35443 27261 33442 32497 70 32765 50
1637046867856,54,17,28376 35443 27260 33442 32510 74 32765 50
1637046867856,55,1,28376 35443 27260 33442 32523 78 32765 51
1637046867856,56,10,28376 35443 27260 33443 32536 82 32766 52
1637046867857,57,79,28376 35443 27261 33444 32548 86 32768 52
1637046867857,58,0,28376 35443 27263 33445 32559 90 32769 53
1637046867857,59,4,28376 35443 27265 33446 32569 95 32771 53
1637046867858,60,0,28376 35443 27267 33448 32578 99 32774 53
1637046867858,61,0,28376 35443 27270 33450 32585 103 32777 54
1637046867858,62,0,28376 35443 27274 33453 32591 108 32780 54
1637046867859,63,0,28376 35443 27278 33455 32596 112 32782 53
1637046867859,0,111,28376 35443 27282 33458 32600 117 32785 53
1637046867859,1,65,28376 35443 27287 33461 32604 121 32787 53
1637046867893,2,177,28376 35443 27293 33465 32608 126 32789 52
1637046867893,3,24,28376 35443 27299 33469 32613 130 32791 52
1637046867893,4,86,28376 35443 27306 33474 32618 135 32793 51
1637046867893,5,139,28376 35443 27313 33479 32623 139 32795 50
1637046867896,6,85,28376 35443 27321 33483 32629 144 32796 49
1637046867897,7,1,28376 35443 27329 33488 32635 148 32797 48
1637046867896,8,30,28376 35443 27337 33492 32640 152 32798 47
1637046867897,9,77,28376 35443 27345 33497 32646 157 32799 46
1637046867896,10,0,28376 35443 27352 33502 32651 161 32800 44
1637046867897,11,1,28376 35443 27359 33508 32655 165 32801 43
1637046867953,12,0,28376 35443 27366 33513 32658 169 32802 41
1637046867953,13,0,28376 35443 27373 33518 32661 173 32802 40
1637046867953,14,0,28376 35443 27380 33523 32662 177 32803 38
1637046867954,15,2,28376 35443 27388 33528 32662 181 32803 36
1637046867955,16,88,28376 35443 27395 33533 32661 185 32802 34
1637046867954,17,97,28376 35443 27403 33537 32658 189 32802 32
1637046867955,18,49,28376 35443 27410 33541 32655 192 32801 31
1637046867954,19,23,28376 35443 27417 33545 32650 195 32800 29
1637046867955,20,246,28376 35443 27423 33547 32644 198 32799 27
1637046867954,21,174,28376 35443 27429 33550 32637 201 32798 25
1637046867998,22,85,28376 35443 27435 33552 32629 203 32796 23
1637046867998,23,1,28376 35443 27440 33554 32620 206 32794 21
1637046867998,24,30,28376 35443 27445 33555 32611 208 32791 20
1637046868000,25,77,28376 35443 27450 33557 32601 209 32788 18
1637046868001,26,0,28376 35443 27454 33559 32592 211 32785 16
1637046868001,27,2,28376 35443 27458 33560 32584 212 32781 15
1637046868000,28,0,28376 35443 27462 33562 32577 213 32777 14
1637046868001,29,0,28376 35443 27465 33564 32571 213 32772 12
1637046868001,30,0,28376 35443 27468 33566 32567 213 32768 11
1637046868000,31,0,28376 35443 27471 33567 32566 213 32762 10
1637046868001,32,0,28376 35443 27474 33569 32568 213 32757 9
1637046868001,33,0,28376 35443 27476 33570 32572 212 32751 9
1637046868003,34,0,28376 35443 27478 33571 32579 210 32746 8
1637046868003,35,0,28376 35443 27480 33572 32589 209 32741 8
1637046868003,36,0,28376 35443 27481 33573 32601 207 32737 7
1637046868003,37,0,28376 35443 27482 33574 32614 205 32733 7
1637046868003,38,17,28376 35443 27483 33575 32629 203 32730 7
1637046868003,39,1,28376 35443 27484 33576 32645 200 32727 7
1637046868003,40,30,28376 35443 27485 33577 32661 197 32726 7
1637046868043,41,79,28376 35443 27485 33578 32677 194 32725 8
1637046868043,42,0,28376 35443 27486 33579 32692 191 32724 8
1637046868043,43,3,28376 35443 27487 33580 32707 188 32725 9
1637046868045,44,0,28376 35443 27488 33581 32722 184 32726 9
1637046868046,45,0,28376 35443 27489 33582 32736 181 32727 10
1637046868045,46,0,28376 35443 27490 33584 32750 177 32729 11
1637046868046,47,0,28376 35443 27491 33585 32764 174 32732 12
1637046868045,48,0,28376 35443 27493 33587 32776 170 32734 12
1637046868046,49,0,28376 35443 27495 33588 32790 167 32737 13
1637046868087,50,0,28376 35443 27497 33590 32804 163 32740 14
1637046868087,51,0,28376 35443 27499 33591 32818 160 32744 15
1637046868087,52,0,28376 35443 27502 33592 32832 157 32747 16
1637046868087,53,0,28376 35443 27505 33593 32846 154 32751 17
1637046868089,54,17,28376 35443 27508 33594 32860 151 32755 18
1637046868090,55,1,28376 35443 27511 33596 32873 148 32758 20
1637046868089,56,10,28376 35443 27515 33598 32885 145 32762 21
1637046868090,57,79,28376 35443 27519 33600 32896 143 32766 22
1637046868089,58,0,28376 35443 27523 33603 32905 140 32768 23
1637046868090,59,4,28376 35443 27528 33605 32913 138 32772 23
1637046868091,60,0,28376 35443 27532 33608 32920 136 32775 24
1637046868091,61,0,28376 35443 27537 33610 32924 134 32777 25
1637046868091,62,0,28376 35443 27542 33613 32926 132 32779 26
1637046868163,63,0,28376 35443 27547 33615 32927 130 32781 27
1637046868163,0,111,28376 35443 27552 33618 32925 129 32782 28
1637046868163,1,65,28376 35443 27557 33621 32921 127 32782 28
1637046868164,2,177,28376 35443 27562 33624 32916 126 32782 29
1637046868165,3,24,28376 35443 27567 33627 32908 124 32781 30
1637046868164,4,96,28376 35443 27573 33630 32898 123 32780 30
1637046868165,5,139,28376 35443 27578 33634 32886 122 32779 30
1637046868164,6,85,28376 35443 27584 33637 32873 121 32777 31
1637046868165,7,1,28376 35443 27590 33641 32858 119 32776 31
1637046868164,8,30,28376 35443 27596 33645 32841 118 32773 31
1637046868167,9,77,28376 35443 27602 33649 32825 117 32771 32
1637046868167,10,0,28376 35443 27609 33653 32807 116 32769 32
1637046868167,11,1,28376 35443 27615 33657 32790 115 32767 32
1637046868167,12,0,28376 35443 27621 33662 32774 114 32764 32
1637046868167,13,0,28376 35443 27626 33666 32760 113 32761 32
1637046868167,14,0,28376 35443 27631 33671 32747 112 32757 31
1637046868168,15,2,28376 35443 27637 33675 32735 111 32754 31
1637046868168,16,88,28376 35443 27643 33679 32726 110 32751 31
1637046868168,17,97,28376 35443 27649 33683 32718 110 32748 30
1637046868208,18,49,28376 35443 27656 33687 32712 109 32746 30
1637046868208,19,23,28376 35443 27663 33691 32708 108 32744 30
1637046868208,20,246,28376 35443 27670 33695 32705 107 32743 29
1637046868208,21,174,28376 35443 27676 33699 32703 107 32742 28
1637046868210,22,85,28376 35443 27683 33702 32702 106 32742 28
1637046868211,23,1,28376 35443 27689 33705 32702 105 32742 27
1637046868210,24,30,28376 35443 27695 33709 32703 105 32743 26
1637046868211,25,77,28376 35443 27701 33712 32704 104 32744 25
1637046868210,26,0,28376 35443 27707 33715 32707 103 32746 25
1637046868211,27,2,28376 35443 27712 33718 32710 103 32748 24
1637046868212,28,0,28376 35443 27718 33722 32715 102 32750 23
1637046868212,29,0,28376 35443 27724 33725 32722 102 32752 22
1637046868212,30,0,28376 35443 27730 33728 32730 101 32754 21
1637046868253,31,0,28376 35443 27735 33732 32740 101 32755 20
1637046868253,32,0,28376 35443 27741 33735 32753 100 32757 19
1637046868253,33,0,28376 35443 27746 33738 32766 99 32758 18
1637046868256,34,0,28376 35443 27751 33740 32780 99 32759 17
1637046868257,35,0,28376 35443 27755 33743 32796 98 32759 17
1637046868256,36,0,28376 35443 27760 33745 32811 97 32760 16
1637046868257,37,0,28376 35443 27764 33748 32826 96 32760 15
1637046868256,38,17,28376 35443 27769 33750 32840 95 32760 14
1637046868257,39,1,28376 35443 27773 33752 32852 94 32761 13
1637046868256,40,30,28376 35443 27777 33755 32863 93 32762 13
1637046868298,41,79,28376 35443 27781 33757 32873 92 32764 12
1637046868298,42,0,28376 35443 27785 33760 32881 91 32766 12
1637046868298,43,3,28376 35443 27789 33762 32888 90 32768 11
1637046868299,44,0,28376 35443 27793 33765 32894 89 32770 11
1637046868299,45,0,28376 35443 27796 33767 32899 87 32773 10
1637046868299,46,0,28376 35443 27800 33770 32902 86 32776 10
1637046868300,47,0,28376 35443 27803 33772 32903 84 32779 10
1637046868300,48,0,28376 35443 27807 33774 32902 83 32783 9
1637046868300,49,0,28376 35443 27810 33776 32899 81 32786 9
1637046868301,50,0,28376 35443 27814 33778 32892 79 32789 9
